Año,Mes,Operador,Motivo de reclamo,Número de reclamos
2018,10,Fibertel S.A. (TCI),Problemas Técnicos,12
2018,10,Movistar - Telefonica Moviles Argentina S.A.,Facturación,46
2018,10,Movistar - Telefonica Moviles Argentina S.A.,Gestiones Administrativas,20
2018,10,Movistar - Telefonica Moviles Argentina S.A.,Otros,35
2018,10,Movistar - Telefonica Moviles Argentina S.A.,Problemas Técnicos,28
2018,10,NSS S.A.,Gestiones Administrativas,2
2018,10,NSS S.A.,Problemas Técnicos,1
2018,10,Otros,Facturación,19
2018,10,Otros,Gestiones Administrativas,12
2018,10,Otros,Otros,9
2018,10,Otros,Problemas Técnicos,68
2018,10,TELECENTRO S.A.,Facturación,14
2018,10,TELECENTRO S.A.,Gestiones Administrativas,26
2018,10,TELECENTRO S.A.,Otros,10
2018,10,TELECENTRO S.A.,Problemas Técnicos,17
2018,10,Telecom Argentina S.A.,Facturación,122
2018,10,Telecom Argentina S.A.,Gestiones Administrativas,166
2018,10,Telecom Argentina S.A.,Otros,26
2018,10,Telecom Argentina S.A.,Problemas Técnicos,575
2018,10,Telefonica de Argentina S.A.,Facturación,122
2018,10,Telefonica de Argentina S.A.,Gestiones Administrativas,244
2018,10,Telefonica de Argentina S.A.,Otros,11
2018,10,Telefonica de Argentina S.A.,Problemas Técnicos,623
2018,10,TELMEX Argentina S.A.,Gestiones Administrativas,4
2018,10,TELMEX Argentina S.A.,Problemas Técnicos,2
2018,9,Advance Telecomunicaciones S.A. (Speedy),Problemas Técnicos,2
2018,9,AMX Argentina S.A. (Claro),Facturación,7
2018,9,AMX Argentina S.A. (Claro),Gestiones Administrativas,7
2018,9,AMX Argentina S.A. (Claro),Otros,3
2018,9,AMX Argentina S.A. (Claro),Problemas Técnicos,15
2018,9,Arnet S.A.,Facturación,1
2018,9,Arnet S.A.,Gestiones Administrativas,1
2018,9,Arnet S.A.,Problemas Técnicos,6
2018,9,DIRECT TV Argentina S.A.L,Facturación,2
2018,9,DIRECT TV Argentina S.A.L,Gestiones Administrativas,13
2018,9,DIRECT TV Argentina S.A.L,Otros,1
